Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8989583333333333,0.006961783908251169,0.899197551771783
1,1,0.7284722222222223,0.09642905623204276,0.7136108179197742
2,2,0.78125,0.03445382376779421,0.7773386457978325
3,3,0.7864583333333334,0.011121956512532586,0.78052967494291
4,4,0.7690972222222223,0.055161361919059196,0.7575869882942682
5,5,0.8034722222222221,0.05309662459337577,0.8098432066735554
6,6,0.8371527777777777,0.028946756945369925,0.8379189439128307
7,7,0.8402777777777778,0.0353178086526428,0.838930826256583
8,8,0.8131944444444444,0.027340305118096552,0.8103267198244221
9,9,0.8243055555555555,0.03444682451454416,0.8197921455077809
10,10,0.7847222222222222,0.08434427309735375,0.7755990554120343
11,11,0.7444444444444445,0.11717811176385805,0.729277857507905
12,12,0.7156250000000001,0.11250964464830954,0.7114170929787728
13,13,0.720138888888889,0.0908196876430449,0.7183782257885373
14,14,0.6906250000000002,0.12850412516796955,0.6816091143629354
15,15,0.6236111111111111,0.13912739937256371,0.612402086394675
16,16,0.5899305555555555,0.10420254011915427,0.5759520575063545
17,17,0.4614583333333333,0.10110429044455184,0.4233555874434174
18,18,0.41631944444444446,0.08288216991311322,0.36168273740094786
19,19,0.4454861111111111,0.09569106791333798,0.4081353422403377
20,20,0.4173611111111111,0.05444196422922123,0.38637678497293765
21,21,0.29131944444444446,0.01680354671189287,0.23248731579756954
22,22,0.23923611111111112,0.1167916410657865,0.20924924918130264
23,23,0.20243055555555556,0.005663023066076423,0.13650525612256323
24,24,0.234375,0.076560728437554,0.18345827433086023
